,Unnamed: 0,userId,sys,segId,Q,src,tgt,score,docId,whole_doc,start,end
3,2125,engrus0101,Manifold,3,TGT,eng,rus,100,news.com.au.796350,False,1629729182.916,1629729184.761
6,2138,engrus0101,Online-Y,0,TGT,eng,rus,99,cbsnews.377408,False,1629729244.709,1629729277.834
9,2150,engrus0101,Online-Y,3,TGT,eng,rus,99,cbsnews.377408,False,1629729438.75,1629729509.203
15,7898,engrus010f,Facebook-AI,2,TGT,eng,rus,100,metro.co.uk.47971,False,1629893042.145,1629893050.199
16,7902,engrus010f,Facebook-AI,4,TGT,eng,rus,100,metro.co.uk.47971,False,1629893140.356,1629893143.086
17,7907,engrus010f,Facebook-AI,0,TGT,eng,rus,100,metro.co.uk.47971,False,1629892992.161,1629893324.665
20,7912,engrus010f,Facebook-AI,7,TGT,eng,rus,100,metro.co.uk.47971,False,1629893313.882,1629893386.207
24,7920,engrus010f,Facebook-AI,11,TGT,eng,rus,100,metro.co.uk.47971,False,1629893522.529,1629893542.473
28,7940,engrus010f,NiuTrans,3,TGT,eng,rus,100,aj-english.22076,False,1629893809.385,1629893854.402
29,7942,engrus010f,NiuTrans,4,TGT,eng,rus,100,aj-english.22076,False,1629893854.405,1629893871.667
36,7962,engrus0110,NiuTrans,0,TGT,eng,rus,100,upi.228777,False,1629894146.805,1629894155.441
41,7970,engrus0110,NiuTrans,5,TGT,eng,rus,100,upi.228777,False,1629894384.096,1629894394.834
44,7975,engrus0110,NiuTrans,8,TGT,eng,rus,100,upi.228777,False,1629894443.528,1629894457.239
54,8005,engrus0110,Facebook-AI,6,TGT,eng,rus,100,novinite.com.40529,False,1629894756.652,1629894783.781
60,8021,engrus0110,Facebook-AI,12,TGT,eng,rus,100,novinite.com.40529,False,1629895009.568,1629895027.646
63,10669,engrus0110,Facebook-AI,0,TGT,eng,rus,100,abcnews.420117,False,1629963635.589,1629963665.348
117,21295,engrus0128,translator-A,5,TGT,eng,rus,99,en.ndtv.com.75143,False,1630817587.563,1630817604.496
134,21506,engrus012e,NiuTrans,0,TGT,eng,rus,100,cnn.480668,False,1631315600.933,1631315848.567
135,21537,engrus012e,NiuTrans,0,TGT,eng,rus,99,cnn.480668,False,1631316230.075,1631318184.561
136,21538,engrus012e,NiuTrans,1,TGT,eng,rus,99,cnn.480668,False,1631318184.572,1631318189.929
137,21543,engrus012e,NiuTrans,6,TGT,eng,rus,99,cnn.480668,False,1631318233.417,1631318238.928
