,userId,sys,segId,Q,src,tgt,score,docId,whole_doc,start,end
2122,engrus0101,Manifold,0,TGT,eng,rus,75,news.com.au.796350,False,1629729129.173,1629729177.626
2123,engrus0101,Manifold,1,TGT,eng,rus,58,news.com.au.796350,False,1629729177.63,1629729179.569
2124,engrus0101,Manifold,2,TGT,eng,rus,76,news.com.au.796350,False,1629729179.577,1629729182.914
2125,engrus0101,Manifold,3,TGT,eng,rus,100,news.com.au.796350,False,1629729182.916,1629729184.761
2128,engrus0101,Manifold,4,TGT,eng,rus,83,news.com.au.796350,False,1629729184.769,1629729188.311
2132,engrus0101,Manifold,5,TGT,eng,rus,82,news.com.au.796350,True,1629729188.315,1629729225.107
2138,engrus0101,Online-Y,0,TGT,eng,rus,99,cbsnews.377408,False,1629729244.709,1629729277.834
2148,engrus0101,Online-Y,1,TGT,eng,rus,38,cbsnews.377408,False,1629729277.838,1629729397.252
2149,engrus0101,Online-Y,2,TGT,eng,rus,76,cbsnews.377408,False,1629729397.255,1629729438.745
2150,engrus0101,Online-Y,3,TGT,eng,rus,99,cbsnews.377408,False,1629729438.75,1629729509.203
2151,engrus0101,Online-Y,4,TGT,eng,rus,55,cbsnews.377408,False,1629729509.205,1629729565.973
2152,engrus0101,Online-Y,5,TGT,eng,rus,88,cbsnews.377408,False,1629729565.982,1629729644.531
2153,engrus0101,Online-Y,6,TGT,eng,rus,90,cbsnews.377408,False,1629729644.533,1629729693.678
2154,engrus0101,Online-Y,7,TGT,eng,rus,50,cbsnews.377408,False,1629729899.453,1629729988.371
2155,engrus0101,Online-Y,9,TGT,eng,rus,93,cbsnews.377408,False,1629729899.456,1629730078.64
7898,engrus010f,Facebook-AI,2,TGT,eng,rus,100,metro.co.uk.47971,False,1629893042.145,1629893050.199
7902,engrus010f,Facebook-AI,4,TGT,eng,rus,100,metro.co.uk.47971,False,1629893140.356,1629893143.086
7907,engrus010f,Facebook-AI,0,TGT,eng,rus,100,metro.co.uk.47971,False,1629892992.161,1629893324.665
7910,engrus010f,Facebook-AI,1,TGT,eng,rus,45,metro.co.uk.47971,False,1629893324.669,1629893342.021
7911,engrus010f,Facebook-AI,3,TGT,eng,rus,51,metro.co.uk.47971,False,1629893050.206,1629893357.947
7912,engrus010f,Facebook-AI,7,TGT,eng,rus,100,metro.co.uk.47971,False,1629893313.882,1629893386.207
7915,engrus010f,Facebook-AI,8,TGT,eng,rus,50,metro.co.uk.47971,False,1629893386.211,1629893468.247
7916,engrus010f,Facebook-AI,9,TGT,eng,rus,71,metro.co.uk.47971,False,1629893468.252,1629893498.217
7917,engrus010f,Facebook-AI,10,TGT,eng,rus,36,metro.co.uk.47971,False,1629893498.222,1629893522.522
7920,engrus010f,Facebook-AI,11,TGT,eng,rus,100,metro.co.uk.47971,False,1629893522.529,1629893542.473
7921,engrus010f,Facebook-AI,12,TGT,eng,rus,50,metro.co.uk.47971,False,1629893542.479,1629893578.711
7925,engrus010f,Facebook-AI,13,TGT,eng,rus,51,metro.co.uk.47971,True,1629893578.714,1629893645.49
7929,engrus010f,NiuTrans,0,TGT,eng,rus,10,aj-english.22076,False,1629893647.118,1629893700.39
7940,engrus010f,NiuTrans,3,TGT,eng,rus,100,aj-english.22076,False,1629893809.385,1629893854.402
7942,engrus010f,NiuTrans,4,TGT,eng,rus,100,aj-english.22076,False,1629893854.405,1629893871.667
7946,engrus010f,NiuTrans,6,TGT,eng,rus,21,aj-english.22076,False,1629893889.108,1629893942.245
7950,engrus010f,NiuTrans,8,TGT,eng,rus,22,aj-english.22076,False,1629893958.863,1629893984.406
7952,engrus010f,NiuTrans,9,TGT,eng,rus,36,aj-english.22076,False,1629893984.41,1629894014.528
7955,engrus010f,NiuTrans,11,TGT,eng,rus,73,aj-english.22076,False,1629894033.867,1629894056.8
7957,engrus010f,NiuTrans,12,TGT,eng,rus,49,aj-english.22076,False,1629894056.803,1629894081.023
7958,engrus010f,NiuTrans,19,TGT,eng,rus,18,aj-english.22076,True,1629894081.026,1629894084.895
7962,engrus0110,NiuTrans,0,TGT,eng,rus,100,upi.228777,False,1629894146.805,1629894155.441
7965,engrus0110,NiuTrans,1,TGT,eng,rus,92,upi.228777,False,1629894155.449,1629894314.1
7966,engrus0110,NiuTrans,2,TGT,eng,rus,81,upi.228777,False,1629894314.106,1629894334.43
7968,engrus0110,NiuTrans,3,TGT,eng,rus,76,upi.228777,False,1629894334.435,1629894355.558
7969,engrus0110,NiuTrans,4,TGT,eng,rus,57,upi.228777,False,1629894355.564,1629894384.09
7970,engrus0110,NiuTrans,5,TGT,eng,rus,100,upi.228777,False,1629894384.096,1629894394.834
7971,engrus0110,NiuTrans,6,TGT,eng,rus,32,upi.228777,False,1629894394.84,1629894422.616
7973,engrus0110,NiuTrans,7,TGT,eng,rus,48,upi.228777,False,1629894422.621,1629894443.523
7975,engrus0110,NiuTrans,8,TGT,eng,rus,100,upi.228777,False,1629894443.528,1629894457.239
7978,engrus0110,NiuTrans,9,TGT,eng,rus,57,upi.228777,False,1629894457.246,1629894475.085
7979,engrus0110,NiuTrans,10,TGT,eng,rus,74,upi.228777,False,1629894475.091,1629894491.891
7981,engrus0110,NiuTrans,11,TGT,eng,rus,54,upi.228777,True,1629894491.895,1629894509.978
7986,engrus0110,Facebook-AI,0,TGT,eng,rus,49,novinite.com.40529,False,1629894522.943,1629894554.473
7989,engrus0110,Facebook-AI,1,TGT,eng,rus,41,novinite.com.40529,False,1629894554.483,1629894602.854
7994,engrus0110,Facebook-AI,2,TGT,eng,rus,26,novinite.com.40529,False,1629894602.86,1629894641.189
7998,engrus0110,Facebook-AI,3,TGT,eng,rus,30,novinite.com.40529,False,1629894641.194,1629894680.642
8001,engrus0110,Facebook-AI,4,TGT,eng,rus,56,novinite.com.40529,False,1629894680.648,1629894717.561
8002,engrus0110,Facebook-AI,5,TGT,eng,rus,55,novinite.com.40529,False,1629894717.566,1629894756.647
8005,engrus0110,Facebook-AI,6,TGT,eng,rus,100,novinite.com.40529,False,1629894756.652,1629894783.781
8009,engrus0110,Facebook-AI,7,TGT,eng,rus,79,novinite.com.40529,False,1629894783.786,1629894859.375
8010,engrus0110,Facebook-AI,9,TGT,eng,rus,59,novinite.com.40529,False,1629894883.958,1629894932.284
8012,engrus0110,Facebook-AI,8,TGT,eng,rus,93,novinite.com.40529,False,1629894859.38,1629894883.953
8016,engrus0110,Facebook-AI,10,TGT,eng,rus,92,novinite.com.40529,False,1629894932.289,1629894970.674
8020,engrus0110,Facebook-AI,11,TGT,eng,rus,86,novinite.com.40529,False,1629894970.679,1629895009.564
8021,engrus0110,Facebook-AI,12,TGT,eng,rus,100,novinite.com.40529,False,1629895009.568,1629895027.646
8022,engrus0110,Facebook-AI,13,TGT,eng,rus,50,novinite.com.40529,True,1629895027.649,1629895032.792
10646,engrus0110,Facebook-AI,9,TGT,eng,rus,75,abcnews.420117,False,1629963919.966,1629964030.145
10669,engrus0110,Facebook-AI,0,TGT,eng,rus,100,abcnews.420117,False,1629963635.589,1629963665.348
10674,engrus0110,Facebook-AI,1,TGT,eng,rus,48,abcnews.420117,False,1629963665.356,1629963694.62
10676,engrus0110,Facebook-AI,2,TGT,eng,rus,81,abcnews.420117,False,1629963694.625,1629963719.726
10677,engrus0110,Facebook-AI,3,TGT,eng,rus,61,abcnews.420117,False,1629963719.731,1629963747.004
10683,engrus0110,Facebook-AI,4,TGT,eng,rus,49,abcnews.420117,False,1629963747.01,1629963788.402
10684,engrus0110,Facebook-AI,5,TGT,eng,rus,77,abcnews.420117,False,1629963806.694,1629963813.476
10686,engrus0110,Facebook-AI,6,TGT,eng,rus,54,abcnews.420117,False,1629963813.481,1629963840.683
10687,engrus0110,Facebook-AI,7,TGT,eng,rus,58,abcnews.420117,False,1629963840.688,1629963862.861
10692,engrus0110,Facebook-AI,8,TGT,eng,rus,73,abcnews.420117,False,1629963862.867,1629963919.961
10702,engrus0110,Facebook-AI,10,TGT,eng,rus,50,abcnews.420117,False,1629964030.152,1629964059.199
10704,engrus0110,Facebook-AI,11,TGT,eng,rus,54,abcnews.420117,True,1629964059.202,1629964068.061
10710,engrus0110,Online-B,1,TGT,eng,rus,52,cnbc.com.58093,False,1629964121.059,1629964127.317
10714,engrus0110,Online-B,2,TGT,eng,rus,87,cnbc.com.58093,False,1629964127.324,1629964145.798
10718,engrus0110,Online-B,3,TGT,eng,rus,83,cnbc.com.58093,False,1629964145.803,1629964183.752
10724,engrus0110,Online-B,4,TGT,eng,rus,92,cnbc.com.58093,False,1629964183.758,1629964266.368
10729,engrus0110,Online-B,5,TGT,eng,rus,48,cnbc.com.58093,False,1629964266.376,1629964304.614
10732,engrus0110,Online-B,6,TGT,eng,rus,49,cnbc.com.58093,False,1629964304.621,1629964332.602
10735,engrus0110,Online-B,7,TGT,eng,rus,94,cnbc.com.58093,False,1629964332.607,1629964361.084
10743,engrus0110,Online-B,8,TGT,eng,rus,54,cnbc.com.58093,False,1629964361.091,1629964431.403
10750,engrus0110,Online-B,9,TGT,eng,rus,36,cnbc.com.58093,False,1629964431.407,1629964457.605
10757,engrus0110,Online-B,10,TGT,eng,rus,70,cnbc.com.58093,False,1629964457.611,1629964502.902
10764,engrus0110,Online-B,11,TGT,eng,rus,47,cnbc.com.58093,False,1629964502.907,1629964531.268
