word,upos,xpos,deprel,case,gender,number,animacy,score,ner
29-летний,ADJ,,amod,Nom,Masc,Sing,,0.4251913492057071,NONE
спортсмен,NOUN,,nsubj,Nom,Masc,Sing,Anim,-0.0650872945278927,NONE
",",PUNCT,,punct,,,,,0.1549329230958822,NONE
родивший,VERB,,acl,Nom,Masc,Sing,,0.0227288697203511,NONE
своего,DET,,det,Acc,Masc,Sing,,-0.0707298555366034,NONE
сына,NOUN,,obj,Acc,Masc,Sing,Anim,-0.0340743588812701,NONE
Эдуарда,PROPN,,appos,Acc,Masc,Sing,Anim,0.1672223157370383,PER
пять,NUM,,nummod:gov,Acc,,,,0.056230097637949,NONE
месяцев,NOUN,,obl,Gen,Masc,Plur,Inan,0.1027890304713175,NONE
назад,ADV,,advmod,,,,,0.1379885809857249,NONE
",",PUNCT,,punct,,,,,0.1896221272223008,NONE
имеет,VERB,,root,,,Sing,,0.1083005580218658,NONE
ухудшающееся,VERB,,amod,Acc,Neut,Sing,,0.230618226453083,NONE
состояние,NOUN,,obj,Acc,Neut,Sing,Inan,-0.0783950187858218,NONE
глаз,NOUN,,nmod,Gen,Masc,Plur,Inan,0.1468250918209633,NONE
",",PUNCT,,punct,,,,,0.0729989608827866,NONE
называемое,VERB,,acl,Acc,Neut,Sing,,-0.0608090393724866,NONE
Макулярной,ADJ,,amod,Ins,Fem,Sing,,0.1085437710421354,PER
Дистрофией,PROPN,,obl,Ins,Fem,Sing,Inan,0.166731973485408,PER
Старгардта,PROPN,,nmod,Gen,Masc,Sing,Anim,0.1257079857514103,PER
",",PUNCT,,punct,,,,,0.0722798351306651,NONE
которая,PRON,,nsubj,Nom,,,,0.1611185358507888,NONE
дает,VERB,,acl:relcl,,,Sing,,0.1138752853949957,NONE
ей,PRON,,iobj,Dat,Fem,Sing,,0.0088295810885373,NONE
лишь,PART,,advmod,,,,,-0.0241023149519715,NONE
небольшое,ADJ,,amod,Acc,Neut,Sing,,0.1282419200903738,NONE
периферическое,ADJ,,amod,Acc,Neut,Sing,,0.1018363700779044,NONE
зрение,NOUN,,obj,Acc,Neut,Sing,Inan,0.1065536215448106,NONE
в,ADP,,case,,,,,0.1926831868989071,NONE
левом,ADJ,,amod,Loc,Masc,Sing,,0.0409019045202689,NONE
глазу,NOUN,,nmod,Loc,Masc,Sing,Inan,0.0937789622583244,NONE
.,PUNCT,,punct,,,,,0.2641208499129728,NONE
О,INTJ,,discourse,,,,,0.4967141673572229,NONE
",",PUNCT,,punct,,,,,-0.1038981302620893,NONE
я,PRON,,nsubj,Nom,,Sing,,-0.0160531564365735,NONE
так,ADV,,advmod,,,,,-0.0655215663197781,NONE
рада,ADJ,,root,,Fem,Sing,,-0.2771002906153977,NONE
",",PUNCT,,punct,,,,,0.0066991461326633,NONE
что,SCONJ,,mark,,,,,-0.2651996894727895,NONE
вы,PRON,,nsubj,Nom,,Plur,,-0.2029466622134089,NONE
спросили,VERB,,advcl,,,Plur,,-0.1222201628183502,NONE
",",PUNCT,,punct,,,,,0.0102436325782362,NONE
мне,PRON,,iobj,Dat,,Sing,,-0.218914591840689,NONE
есть,VERB,,conj,,,Sing,,-0.1556326661084266,NONE
что,PRON,,obj,Acc,Neut,Sing,Inan,-0.0538675066168949,NONE
сказать,VERB,,csubj,,,,,-0.1543292178696215,NONE
по,ADP,,case,,,,,-0.1282534732800732,NONE
этому,DET,,det,Dat,Masc,Sing,,0.0435720257564292,NONE
поводу,NOUN,,obl,Dat,Masc,Sing,Inan,-0.1381970228555271,NONE
.,PUNCT,,punct,,,,,0.3358535216255562,NONE
