word,upos,xpos,deprel,case,gender,number,animacy,score,ner
Я,PRON,,nsubj,Nom,,Sing,,-0.0176151215414693,NONE
собираюсь,VERB,,root,,,Sing,,0.4185084313223985,NONE
удалить,VERB,,xcomp,,,,,0.1349419148956079,NONE
и,CCONJ,,cc,,,,,-0.2433000389102439,NONE
повторно,ADV,,advmod,,,,,-0.0449175687474737,NONE
добавить,VERB,,conj,,,,,-0.03865993434789,NONE
книгу,NOUN,,obj,Acc,Fem,Sing,Inan,-0.0816640890660356,NONE
",",PUNCT,,punct,,,,,0.0638104499709764,NONE
после,ADP,,case,,,,,0.0412840498373333,NONE
чего,PRON,,obl,Gen,,,,-0.0584288809771005,NONE
Вам,PRON,,iobj,Dat,,Plur,,-0.0541513855575993,NONE
нужно,ADJ,,parataxis,,Neut,Sing,,-0.1849320636805083,NONE
будет,AUX,,cop,,,Sing,,-0.0908235083464306,NONE
выполнить,VERB,,csubj,,,,,-0.0115176473537957,NONE
2,NUM,,nummod,,,,,-0.1140223051893843,NONE
процедуры,NOUN,,obl,Gen,Fem,Sing,Inan,-0.1339977666355183,NONE
для,ADP,,case,,,,,0.0765482493598344,NONE
устранения,NOUN,,nmod,Gen,Neut,Sing,Inan,0.0864566117113189,NONE
неполадок,NOUN,,nmod,Gen,Fem,Plur,Inan,-0.0418971017765308,NONE
в,ADP,,case,,,,,0.2428160203768401,NONE
приложении,NOUN,,nmod,Loc,Neut,Sing,Inan,0.0747424158045888,NONE
ORG,PROPN,,flat:foreign,,,,,0.1132071250302562,NONE
#,PUNCT,,punct,,,,,0.2409846449432519,NONE
",",PUNCT,,punct,,,,,-0.0624615542205674,NONE
чтобы,SCONJ,,mark,,,,,-0.1479578764487852,NONE
проверить,VERB,,advcl,,,,,-0.0057005654336136,NONE
",",PUNCT,,punct,,,,,-0.0546247884039638,NONE
решит,VERB,,ccomp,,,Sing,,-0.0221414392432989,NONE
ли,PART,,advmod,,,,,0.1689173596916887,NONE
это,PRON,,nsubj,Nom,Neut,Sing,Inan,-0.0112134825257792,NONE
проблему,NOUN,,obj,Acc,Fem,Sing,Inan,0.0530425367746508,NONE
.,PUNCT,,punct,,,,,-0.311824562018254,NONE
У,ADP,,case,,,,,-0.360260749942459,NONE
меня,PRON,,obl,Gen,,Sing,,-0.1568658907652822,NONE
